  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
       202      1.743           1.731           3.005           2.293           0.890           0.403
       203      2.027           2.006           3.217           2.531           1.609           0.326
       204      2.117           2.095           3.249           2.592           1.090           0.251
       205      2.033           2.015           3.195           2.532           1.314           0.222
       206      2.065           2.053           3.192           2.538           1.082           0.360
       207      2.102           2.088           3.191           2.566           1.597           0.352
       208      1.832           1.820           3.046           2.369           1.204           0.281
       209      1.961           1.944           3.055           2.429           1.682           0.277
       210      2.059           2.047           3.217           2.565           1.093           0.245
       211      2.015           1.999           3.147           2.504           1.487           0.381
       212      2.093           2.079           3.287           2.626           1.157           0.247
       213      2.070           2.055           3.194           2.553           1.327           0.347
       214      1.982           1.967           3.203           2.513           1.100           0.338
       215      1.932           1.915           3.064           2.416           0.820           0.330
       216      2.013           1.995           3.145           2.504           1.064           0.400
       217      1.984           1.970           3.088           2.455           1.514           0.345
       218      1.881           1.864           3.061           2.398           1.571           0.276
       219      1.920           1.910           3.132           2.450           1.449           0.289
       220      1.988           1.980           3.127           2.477           0.925           0.230
       221      2.236           2.221           3.313           2.687           1.539           0.231
       222      2.065           2.054           3.124           2.511           1.752           0.313
       223      1.847           1.835           3.034           2.379           1.367           0.491
       224      1.770           1.754           2.951           2.291           1.489           0.468
       225      1.842           1.822           2.971           2.320           1.671           0.278
       226      1.971           1.961           3.005           2.400           2.608           0.319
       227      1.791           1.787           2.882           2.258           1.943           0.374
       228      2.003           1.996           3.073           2.457           1.952           0.396
       229      1.969           1.956           3.067           2.438           2.437           0.491
       230      2.003           1.984           3.105           2.466           1.999           0.391
       231      1.913           1.891           3.009           2.368           1.825           0.477
       232      2.005           1.989           3.123           2.486           2.179           0.387
       233      2.128           2.113           3.183           2.553           1.732           0.508
       234      2.171           2.162           3.170           2.578           2.276           0.484
       235      2.271           2.255           3.255           2.675           2.027           0.378
       236      2.365           2.354           3.333           2.760           1.775           0.345
       237      2.238           2.221           3.246           2.647           1.118           0.585
       238      2.165           2.153           3.166           2.574           2.680           0.411
       239      2.454           2.445           3.427           2.855           1.476           0.234
       240      2.101           2.090           3.160           2.541           1.068           0.336
       241      2.078           2.068           3.063           2.478           1.247           0.476
       242      2.366           2.352           3.316           2.742           0.709           0.355
       243      2.083           2.072           3.176           2.538           0.870           0.431
       244      2.140           2.126           3.143           2.550           0.691           0.351
       245      2.005           1.988           3.065           2.450           0.851           0.440
       246      2.133           2.116           3.102           2.521           0.516           0.407
       247      2.211           2.193           3.201           2.603           1.987           0.420
       248      1.921           1.909           3.023           2.404           2.322           0.434
       249      1.863           1.848           2.940           2.320           0.853           0.263
       250      2.129           2.117           3.136           2.561           0.836           0.398
       251      1.878           1.871           2.948           2.334           0.757           0.418
       252      1.806           1.806           2.937           2.294           0.674           0.393
       253      1.851           1.835           2.941           2.306           0.612           0.331
       254      1.865           1.857           2.946           2.314           0.693           0.310
       255      1.950           1.931           3.066           2.421           0.891           0.363
       256      1.839           1.834           2.987           2.320           0.969           0.293
       257      1.660           1.650           2.825           2.158           0.719           0.456
       258      1.801           1.790           2.887           2.257           1.529           0.290
       259      1.898           1.889           2.940           2.328           1.290           0.278
       260      1.889           1.874           2.956           2.325           0.952           0.294
       261      1.813           1.789           2.897           2.263           0.613           0.296
       262      1.734           1.726           2.875           2.214           0.706           0.225
       263      1.998           1.982           3.116           2.467           0.613           0.356
       264      2.045           2.029           3.153           2.505           0.804           0.180
       265      1.898           1.878           2.986           2.351           0.761           0.216
       266      1.967           1.948           2.991           2.391           0.578           0.379
       267      1.906           1.895           2.932           2.317           0.721           0.284
       268      1.841           1.829           2.948           2.301           0.694           0.284
       269      2.000           1.988           3.046           2.426           0.780           0.341
       270      1.832           1.825           2.905           2.278           0.467           0.244
       271      2.013           1.998           3.058           2.444           0.536           0.260
       272      1.821           1.809           2.945           2.291           0.798           0.382
       273      1.875           1.857           3.089           2.396           0.507           0.289
       274      1.863           1.843           2.945           2.307           0.475           0.313
       275      1.924           1.906           3.017           2.385           0.849           0.359
       276      1.978           1.965           3.061           2.432           0.879           0.253
       277      1.938           1.924           3.061           2.399           0.569           0.328
       278      1.818           1.804           3.009           2.328           0.773           0.469
       279      1.882           1.862           2.962           2.331           0.617           0.347
       280      2.028           2.009           3.070           2.453           0.629           0.285
       281      1.886           1.870           3.005           2.366           0.575           0.238
       282      1.955           1.942           3.027           2.404           0.810           0.338
       283      1.971           1.963           3.020           2.406           0.496           0.203
       284      1.855           1.836           2.986           2.342           0.811           0.304
       285      1.756           1.740           3.011           2.317           1.275           0.294
       286      1.863           1.850           2.993           2.353           1.081           0.191
       287      2.047           2.031           3.277           2.586           0.766           0.213
       288      1.996           1.970           3.268           2.554           0.765           0.268
       289      1.790           1.780           3.086           2.378           0.723           0.364
       290      1.888           1.872           3.132           2.440           0.878           0.297
       291      1.713           1.702           3.017           2.306           0.685           0.233
       292      1.786           1.771           2.998           2.324           0.970           0.410
       293      1.821           1.804           2.983           2.328           0.598           0.280
       294      1.760           1.752           2.945           2.280           0.542           0.322
       295      1.899           1.885           2.990           2.365           0.854           0.356
       296      1.908           1.897           2.967           2.353           1.056           0.318
       297      1.985           1.966           3.127           2.480           0.614           0.358
       298      1.884           1.871           3.024           2.385           0.546           0.226
       299      1.640           1.633           2.837           2.165           0.989           0.345
       300      1.710           1.698           2.942           2.262           1.159           0.303
       301      1.803           1.790           2.963           2.304           0.571           0.375
       302      1.796           1.782           3.067           2.358           0.747           0.331
       303      1.780           1.756           3.039           2.340           0.904           0.372
       304      1.856           1.850           3.031           2.373           0.812           0.285
       305      1.921           1.903           3.115           2.430           0.689           0.204
       306      1.843           1.822           3.031           2.353           0.964           0.502
       307      1.861           1.846           3.034           2.365           0.550           0.390
       308      1.999           1.980           3.080           2.461           0.794           0.262
       309      2.017           1.997           3.109           2.483           1.209           0.372
       310      1.828           1.817           3.009           2.361           0.810           0.356
       311      1.842           1.830           3.030           2.375           1.263           0.329
       312      1.833           1.820           3.056           2.391           1.303           0.279
       313      1.794           1.787           2.949           2.313           0.815           0.320
       314      1.831           1.819           3.010           2.359           0.657           0.347
       315      1.875           1.863           3.065           2.408           1.011           0.386
       316      1.893           1.885           3.105           2.454           0.793           0.268
       317      1.919           1.901           3.060           2.425           0.965           0.245
       318      1.914           1.896           3.117           2.441           0.731           0.334
       319      1.914           1.894           3.097           2.444           0.738           0.252
       320      2.007           1.993           3.149           2.508           1.237           0.381
       321      1.832           1.812           3.103           2.422           1.471           0.438
       322      1.987           1.975           3.197           2.543           1.268           0.324
       323      2.165           2.148           3.362           2.709           1.580           0.410
       324      2.022           2.012           3.203           2.549           1.379           0.347
       325      1.769           1.757           3.025           2.360           1.049           0.292
       326      2.017           2.003           3.221           2.560           1.502           0.295
       327      2.018           2.002           3.165           2.517           1.395           0.342
       328      2.030           2.014           3.199           2.561           1.215           0.323
       329      2.141           2.118           3.288           2.649           1.040           0.294
       330      2.077           2.060           3.177           2.560           1.848           0.321
       331      2.088           2.081           3.211           2.587           1.460           0.328
       332      1.994           1.988           3.171           2.530           1.566           0.282
       333      2.172           2.168           3.280           2.669           1.412           0.393
       334      2.126           2.120           3.178           2.598           1.108           0.378
       335      1.974           1.960           3.138           2.497           1.405           0.456
       336      2.111           2.092           3.283           2.637           1.071           0.317
       337      2.009           2.000           3.199           2.555           1.235           0.361
       338      2.118           2.102           3.234           2.627           1.599           0.550
       339      1.982           1.968           3.184           2.532           1.434           0.340
       340      1.956           1.935           3.271           2.571           1.590           0.335
       341      2.125           2.101           3.372           2.684           1.372           0.285
       342      1.968           1.949           3.256           2.568           1.532           0.267
       343      2.102           2.084           3.337           2.668           0.559           0.307
       344      1.967           1.954           3.198           2.537           1.635           0.457
       345      2.028           2.017           3.249           2.591           0.607           0.436
       346      2.014           2.010           3.299           2.617           1.591           0.439
       347      2.033           2.007           3.338           2.643           1.304           0.385
       348      2.071           2.053           3.350           2.670           1.457           0.280
       349      2.060           2.037           3.379           2.679           1.865           0.347
       350      2.177           2.147           3.489           2.783           1.818           0.311
       351      2.272           2.247           3.456           2.810           1.656           0.350
       352      2.199           2.174           3.463           2.774           1.310           0.315
       353      2.398           2.362           3.635           2.948           1.204           0.385
       354      2.431           2.408           3.636           2.977           1.366           0.520
       355      2.270           2.238           3.486           2.836           1.361           0.557
       356      2.187           2.161           3.547           2.835           1.570           0.408
       357      2.387           2.355           3.591           2.933           1.478           0.425
       358      2.246           2.215           3.577           2.866           1.791           0.389
       359      2.074           2.054           3.463           2.724           1.332           0.265
       360      2.209           2.174           3.565           2.833           1.345           0.441
       361      2.280           2.262           3.552           2.859           1.143           0.287
       362      2.303           2.268           3.588           2.870           1.614           0.296
       363      2.277           2.239           3.514           2.817           1.885           0.204
       364      2.333           2.296           3.504           2.840           1.346           0.327
       365      2.332           2.287           3.542           2.866           1.504           0.375
       366      2.125           2.094           3.409           2.708           1.677           0.286
       367      2.083           2.058           3.347           2.656           1.825           0.363
       368      2.107           2.081           3.248           2.619           1.483           0.369
       369      2.044           2.013           3.241           2.572           1.095           0.375
       370      2.164           2.132           3.392           2.712           1.355           0.335
       371      2.011           1.978           3.291           2.598           1.304           0.292
       372      2.032           1.995           3.295           2.603           1.597           0.291
       373      2.054           2.024           3.367           2.650           1.267           0.406
       374      2.005           1.986           3.238           2.570           0.975           0.304
       375      2.146           2.110           3.312           2.641           1.285           0.325
       376      1.927           1.892           3.274           2.552           1.505           0.322
       377      2.010           1.983           3.286           2.588           1.608           0.347
       378      2.102           2.078           3.334           2.650           1.065           0.314
       379      2.029           1.992           3.334           2.623           1.372           0.264
       380      2.285           2.239           3.562           2.849           1.315           0.309
       381      2.283           2.238           3.624           2.872           1.648           0.223
       382      2.084           2.049           3.355           2.646           1.156           0.365
       383      2.138           2.106           3.434           2.713           1.047           0.151
       384      2.135           2.110           3.377           2.675           1.341           0.398
       385      2.125           2.092           3.379           2.671           1.775           0.377
       386      2.167           2.133           3.421           2.715           1.548           0.337
       387      2.044           2.010           3.357           2.630           1.497           0.301
       388      2.054           2.022           3.252           2.557           1.320           0.359
       389      2.073           2.039           3.353           2.631           1.566           0.386
       390      2.124           2.103           3.290           2.624           1.283           0.220
       391      2.146           2.111           3.363           2.660           1.794           0.488
       392      1.930           1.907           3.153           2.446           1.721           0.272
       393      2.083           2.050           3.315           2.611           1.418           0.179
       394      2.008           1.977           3.157           2.498           1.386           0.295
       395      1.920           1.886           3.175           2.482           1.477           0.370
       396      2.103           2.062           3.292           2.607           1.521           0.513
       397      2.080           2.044           3.338           2.622           1.452           0.319
       398      2.181           2.139           3.446           2.721           1.575           0.359
       399      2.156           2.106           3.472           2.730           1.185           0.358
       400      2.067           2.024           3.435           2.674           1.352           0.416
       401      2.089           2.053           3.399           2.664           0.888           0.459
       402      2.230           2.198           3.380           2.710           0.966           0.403
       403      2.301           2.266           3.537           2.842           1.423           0.254
       404      2.143           2.100           3.445           2.704           1.457           0.519
       405      2.217           2.170           3.442           2.718           1.488           0.440
       406      2.296           2.271           3.443           2.767           1.058           0.410
       407      2.205           2.179           3.369           2.685           0.675           0.338
       408      2.209           2.174           3.420           2.715           0.612           0.379
